epoch,loss,mae,mse,val_loss,val_mae,val_mse,val_weighted_mae,val_weighted_mse,weighted_mae,weighted_mse
0,3.998354434967041,1.5414505004882812,3.5051686763763428,3.2798991203308105,1.4096014499664307,3.076220989227295,1.4096014499664307,3.076220989227295,1.5414505004882812,3.5051686763763428
1,3.1793925762176514,1.3568474054336548,2.8107285499572754,3.948664426803589,1.4766665697097778,3.4858696460723877,1.4766665697097778,3.4858696460723877,1.3568474054336548,2.8107285499572754
2,3.617619276046753,1.505036473274231,3.2888550758361816,3.21701717376709,1.3821015357971191,2.9562385082244873,1.3821015357971191,2.9562385082244873,1.505036473274231,3.2888550758361816
3,2.874943733215332,1.3016891479492188,2.5991404056549072,4.047025203704834,1.4739413261413574,3.520974636077881,1.4739413261413574,3.520974636077881,1.3016891479492188,2.5991404056549072
4,3.160623788833618,1.420031189918518,2.908863067626953,2.94067645072937,1.3243759870529175,2.704561471939087,1.3243759870529175,2.704561471939087,1.420031189918518,2.908863067626953
5,2.9558603763580322,1.340004801750183,2.735133409500122,3.180333137512207,1.344188928604126,2.8807783126831055,1.344188928604126,2.8807783126831055,1.340004801750183,2.735133409500122
6,2.81723690032959,1.334593653678894,2.5851733684539795,2.7304742336273193,1.272075891494751,2.5050151348114014,1.272075891494751,2.5050151348114014,1.334593653678894,2.5851733684539795
7,2.9778881072998047,1.3449420928955078,2.751786231994629,2.851717710494995,1.2793530225753784,2.586963176727295,1.2793530225753784,2.586963176727295,1.3449420928955078,2.751786231994629
8,2.6158394813537598,1.2685624361038208,2.371192693710327,2.5983223915100098,1.2352646589279175,2.382326126098633,1.2352646589279175,2.382326126098633,1.2685624361038208,2.371192693710327
9,2.9008920192718506,1.322176218032837,2.6648237705230713,2.5404741764068604,1.2237797975540161,2.325223445892334,1.2237797975540161,2.325223445892334,1.322176218032837,2.6648237705230713
10,2.4326181411743164,1.2085139751434326,2.1816484928131104,2.56813383102417,1.2121022939682007,2.3275938034057617,1.2121022939682007,2.3275938034057617,1.2085139751434326,2.1816484928131104
11,2.8092637062072754,1.3131390810012817,2.5705249309539795,2.501566171646118,1.2116955518722534,2.268636703491211,1.2116955518722534,2.268636703491211,1.3131390810012817,2.5705249309539795
12,2.4077348709106445,1.1898612976074219,2.1709377765655518,2.54862904548645,1.196492314338684,2.276188373565674,1.196492314338684,2.276188373565674,1.1898612976074219,2.1709377765655518
13,2.83670711517334,1.3222830295562744,2.56391978263855,2.4912173748016357,1.1974561214447021,2.2405612468719482,1.1974561214447021,2.2405612468719482,1.3222830295562744,2.56391978263855
14,2.3863887786865234,1.1792068481445312,2.154348850250244,2.627514362335205,1.199318766593933,2.3141419887542725,1.199318766593933,2.3141419887542725,1.1792068481445312,2.154348850250244
15,2.7553555965423584,1.297731876373291,2.4769718647003174,2.345869779586792,1.1684706211090088,2.1167166233062744,1.1684706211090088,2.1167166233062744,1.297731876373291,2.4769718647003174
16,2.3881595134735107,1.174901008605957,2.1388440132141113,2.633125066757202,1.1941781044006348,2.2995262145996094,1.1941781044006348,2.2995262145996094,1.174901008605957,2.1388440132141113
17,2.557877540588379,1.2502504587173462,2.273939609527588,2.2572834491729736,1.1392903327941895,1.9762954711914062,1.1392903327941895,1.9762954711914062,1.2502504587173462,2.273939609527588
