epoch,loss,mae,mse,val_loss,val_mae,val_mse,val_weighted_mae,val_weighted_mse,weighted_mae,weighted_mse
0,3.4053258895874023,1.4112051725387573,2.96547269821167,3.1356277465820312,1.4235087633132935,3.114267587661743,1.4235087633132935,3.114267587661743,1.4112051725387573,2.96547269821167
1,3.00834584236145,1.3857924938201904,2.8086307048797607,2.939177989959717,1.3528518676757812,2.912529706954956,1.3528518676757812,2.912529706954956,1.3857924938201904,2.8086307048797607
2,2.7116880416870117,1.2988413572311401,2.515169382095337,2.517307758331299,1.1739009618759155,2.3098561763763428,1.1739009618759155,2.3098561763763428,1.2988413572311401,2.515169382095337
3,2.534179449081421,1.225493311882019,2.2673521041870117,2.4489448070526123,1.1493351459503174,2.205172538757324,1.1493351459503174,2.205172538757324,1.225493311882019,2.2673521041870117
4,2.470043897628784,1.204507827758789,2.1885459423065186,2.4301633834838867,1.1476870775222778,2.1922051906585693,1.1476870775222778,2.1922051906585693,1.204507827758789,2.1885459423065186
5,2.4315831661224365,1.1927578449249268,2.1425247192382812,2.411590337753296,1.1475447416305542,2.178215980529785,1.1475447416305542,2.178215980529785,1.1927578449249268,2.1425247192382812
6,2.4043807983398438,1.1836261749267578,2.1064279079437256,2.3938543796539307,1.1446974277496338,2.157158851623535,1.1446974277496338,2.157158851623535,1.1836261749267578,2.1064279079437256
7,2.382723093032837,1.1756572723388672,2.075380563735962,2.381812810897827,1.1435425281524658,2.1436498165130615,1.1435425281524658,2.1436498165130615,1.1756572723388672,2.075380563735962
8,2.365290641784668,1.1685185432434082,2.048476457595825,2.374732494354248,1.1423600912094116,2.134519577026367,1.1423600912094116,2.134519577026367,1.1685185432434082,2.048476457595825
9,2.3495876789093018,1.162095546722412,2.024341583251953,2.3678998947143555,1.140797734260559,2.124049663543701,1.140797734260559,2.124049663543701,1.162095546722412,2.024341583251953
10,2.3361592292785645,1.1562395095825195,2.0025582313537598,2.3638062477111816,1.139500617980957,2.1180219650268555,1.139500617980957,2.1180219650268555,1.1562395095825195,2.0025582313537598
11,2.3246729373931885,1.1509625911712646,1.982994794845581,2.363034248352051,1.1373265981674194,2.1144278049468994,1.1373265981674194,2.1144278049468994,1.1509625911712646,1.982994794845581
12,2.314357042312622,1.1458139419555664,1.9643223285675049,2.3612253665924072,1.1350226402282715,2.1088063716888428,1.1350226402282715,2.1088063716888428,1.1458139419555664,1.9643223285675049
13,2.304715871810913,1.1408369541168213,1.9465036392211914,2.360231637954712,1.1328821182250977,2.103523015975952,1.1328821182250977,2.103523015975952,1.1408369541168213,1.9465036392211914
14,2.2961268424987793,1.1360148191452026,1.9296884536743164,2.3599681854248047,1.1306360960006714,2.0986428260803223,1.1306360960006714,2.0986428260803223,1.1360148191452026,1.9296884536743164
15,2.2885022163391113,1.1317225694656372,1.914667010307312,2.354593276977539,1.1275438070297241,2.085737705230713,1.1275438070297241,2.085737705230713,1.1317225694656372,1.914667010307312
16,2.2816569805145264,1.1279268264770508,1.9014654159545898,2.350623607635498,1.1246508359909058,2.0746989250183105,1.1246508359909058,2.0746989250183105,1.1279268264770508,1.9014654159545898
17,2.275967597961426,1.1246410608291626,1.8901665210723877,2.3433754444122314,1.1218417882919312,2.0600128173828125,1.1218417882919312,2.0600128173828125,1.1246410608291626,1.8901665210723877
18,2.271040678024292,1.1217886209487915,1.880294919013977,2.3391549587249756,1.119492530822754,2.0496604442596436,1.119492530822754,2.0496604442596436,1.1217886209487915,1.880294919013977
19,2.267076015472412,1.119479775428772,1.8722139596939087,2.3366098403930664,1.1169532537460327,2.041652202606201,1.1169532537460327,2.041652202606201,1.119479775428772,1.8722139596939087
