epoch,loss,mae,mse,val_loss,val_mae,val_mse,val_weighted_mae,val_weighted_mse,weighted_mae,weighted_mse
0,3.2831687927246094,1.453369140625,2.9876813888549805,2.8430891036987305,1.3941850662231445,2.779240369796753,1.3941850662231445,2.779240369796753,1.453369140625,2.9876813888549805
1,2.815302610397339,1.3671623468399048,2.661193370819092,2.883297920227051,1.400868535041809,2.783106803894043,1.400868535041809,2.783106803894043,1.3671623468399048,2.661193370819092
2,2.736330032348633,1.3367736339569092,2.5863285064697266,2.452451467514038,1.300679087638855,2.3544788360595703,1.300679087638855,2.3544788360595703,1.3367736339569092,2.5863285064697266
3,2.3929994106292725,1.2242006063461304,2.193737506866455,2.276923418045044,1.1898155212402344,2.0524826049804688,1.1898155212402344,2.0524826049804688,1.2242006063461304,2.193737506866455
4,2.167797803878784,1.1284102201461792,1.926409125328064,2.2769947052001953,1.2158334255218506,2.0920119285583496,1.2158334255218506,2.0920119285583496,1.1284102201461792,1.926409125328064
5,2.4615895748138428,1.2147008180618286,2.1797330379486084,2.207249641418457,1.1381720304489136,1.939459204673767,1.1381720304489136,1.939459204673767,1.2147008180618286,2.1797330379486084
6,2.3410980701446533,1.193018913269043,2.0673680305480957,2.1857104301452637,1.1489968299865723,1.9147403240203857,1.1489968299865723,1.9147403240203857,1.193018913269043,2.0673680305480957
7,2.3634190559387207,1.181513786315918,2.0690317153930664,2.2123863697052,1.1398472785949707,1.9545127153396606,1.1398472785949707,1.9545127153396606,1.181513786315918,2.0690317153930664
